customer_id,first_name,last_name,email
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org
6,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org
7,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org
8,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org
9,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org
10,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org
11,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org
12,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org
13,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org
14,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org
15,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org
16,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org
17,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org
18,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org
20,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org
23,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org
24,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org
25,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org
26,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org
28,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org
30,MELISSA,KING,MELISSA.KING@sakilacustomer.org
31,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org
32,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org
33,ANNA,HILL,ANNA.HILL@sakilacustomer.org
34,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org
35,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org
36,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org
37,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org
38,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org
39,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org
40,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org
41,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org
42,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org
43,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org
44,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org
45,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org
46,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org
47,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org
48,ANN,EVANS,ANN.EVANS@sakilacustomer.org
49,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org
51,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org
52,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org
53,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org
54,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org
55,DORIS,REED,DORIS.REED@sakilacustomer.org
56,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org
57,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org
58,JEAN,BELL,JEAN.BELL@sakilacustomer.org
59,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org
60,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org
61,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org
62,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org
63,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org
64,JUDITH,COX,JUDITH.COX@sakilacustomer.org
65,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org
66,JANICE,WARD,JANICE.WARD@sakilacustomer.org
67,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org
68,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org
69,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org
70,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org
71,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org
72,THERESA,WATSON,THERESA.WATSON@sakilacustomer.org
73,BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org
74,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org
75,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org
76,IRENE,PRICE,IRENE.PRICE@sakilacustomer.org
77,JANE,BENNETT,JANE.BENNETT@sakilacustomer.org
78,LORI,WOOD,LORI.WOOD@sakilacustomer.org
79,RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org
80,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org
81,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org
82,KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org
83,LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org
84,SARA,PERRY,SARA.PERRY@sakilacustomer.org
85,ANNE,POWELL,ANNE.POWELL@sakilacustomer.org
86,JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org
87,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org
88,BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org
89,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org
90,RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org
91,LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org
92,TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org
93,PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org
94,NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org
95,PAULA,BRYANT,PAULA.BRYANT@sakilacustomer.org
96,DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org
97,ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org
98,LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org
99,EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org
100,ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org
101,PEGGY,MYERS,PEGGY.MYERS@sakilacustomer.org
102,CRYSTAL,FORD,CRYSTAL.FORD@sakilacustomer.org
103,GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org
104,RITA,GRAHAM,RITA.GRAHAM@sakilacustomer.org
105,DAWN,SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org
106,CONNIE,WALLACE,CONNIE.WALLACE@sakilacustomer.org
